n,n_next,t_hat_1e6_n,t_hat_1e6_next,delta_t_hat_1e6,abs_delta_t_hat_1e6,fracture_threshold_1e6,fracture_class
697,698,600000,0,-600000,600000,200000,STRONG
702,703,0,680000,680000,680000,200000,STRONG
703,704,680000,0,-680000,680000,200000,STRONG
706,707,0,200000,200000,200000,200000,MODERATE
707,708,200000,0,-200000,200000,200000,MODERATE
712,713,0,840000,840000,840000,200000,EXTREME
713,714,840000,0,-840000,840000,200000,EXTREME
720,721,0,200000,200000,200000,200000,MODERATE
721,722,200000,0,-200000,200000,200000,MODERATE
730,731,0,576923,576923,576923,200000,STRONG
731,732,576923,0,-576923,576923,200000,STRONG
736,737,0,346153,346153,346153,200000,MODERATE
737,738,346153,0,-346153,346153,200000,MODERATE
766,767,0,423076,423076,423076,200000,MODERATE
767,768,423076,0,-423076,423076,200000,MODERATE
778,779,0,653846,653846,653846,200000,STRONG
779,780,653846,0,-653846,653846,200000,STRONG
780,781,0,346153,346153,346153,200000,MODERATE
781,782,346153,0,-346153,346153,200000,MODERATE
792,793,0,407407,407407,407407,200000,MODERATE
793,794,407407,0,-407407,407407,200000,MODERATE
798,799,0,555555,555555,555555,200000,STRONG
799,800,555555,0,-555555,555555,200000,STRONG
802,803,0,333333,333333,333333,200000,MODERATE
803,804,333333,0,-333333,333333,200000,MODERATE
816,817,0,629629,629629,629629,200000,STRONG
817,818,629629,0,-629629,629629,200000,STRONG
840,841,0,964285,964285,964285,200000,EXTREME
841,842,964285,0,-964285,964285,200000,EXTREME
850,851,0,750000,750000,750000,200000,STRONG
851,852,750000,0,-750000,750000,200000,STRONG
868,869,0,321428,321428,321428,200000,MODERATE
869,870,321428,0,-321428,321428,200000,MODERATE
870,871,0,392857,392857,392857,200000,MODERATE
871,872,392857,0,-392857,392857,200000,MODERATE
892,893,0,607142,607142,607142,200000,STRONG
893,894,607142,0,-607142,607142,200000,STRONG
898,899,0,964285,964285,964285,200000,EXTREME
899,900,964285,0,-964285,964285,200000,EXTREME
900,901,0,517241,517241,517241,200000,STRONG
901,902,517241,0,-517241,517241,200000,STRONG
912,913,0,310344,310344,310344,200000,MODERATE
913,914,310344,0,-310344,310344,200000,MODERATE
922,923,0,379310,379310,379310,200000,MODERATE
923,924,379310,0,-379310,379310,200000,MODERATE
942,943,0,724137,724137,724137,200000,STRONG
943,944,724137,0,-724137,724137,200000,STRONG
948,949,0,379310,379310,379310,200000,MODERATE
949,950,379310,0,-379310,379310,200000,MODERATE
960,961,0,966666,966666,966666,200000,EXTREME
961,962,966666,0,-966666,966666,200000,EXTREME
978,979,0,300000,300000,300000,200000,MODERATE
979,980,300000,0,-300000,300000,200000,MODERATE
988,989,0,700000,700000,700000,200000,STRONG
989,990,700000,0,-700000,700000,200000,STRONG
1002,1003,0,500000,500000,500000,200000,STRONG
1003,1004,500000,0,-500000,500000,200000,STRONG
1006,1007,0,566666,566666,566666,200000,STRONG
1007,1008,566666,0,-566666,566666,200000,STRONG
1026,1027,0,354838,354838,354838,200000,MODERATE
1027,1028,354838,0,-354838,354838,200000,MODERATE
1036,1037,0,483870,483870,483870,200000,MODERATE
1037,1038,483870,0,-483870,483870,200000,MODERATE
1066,1067,0,290322,290322,290322,200000,MODERATE
1067,1068,290322,0,-290322,290322,200000,MODERATE
1072,1073,0,870967,870967,870967,200000,EXTREME
1073,1074,870967,0,-870967,870967,200000,EXTREME
1078,1079,0,354838,354838,354838,200000,MODERATE
1079,1080,354838,0,-354838,354838,200000,MODERATE
1080,1081,0,677419,677419,677419,200000,STRONG
1081,1082,677419,0,-677419,677419,200000,STRONG
1110,1111,0,281250,281250,281250,200000,MODERATE
1111,1112,281250,0,-281250,281250,200000,MODERATE
1120,1121,0,531250,531250,531250,200000,STRONG
1121,1122,531250,0,-531250,531250,200000,STRONG
1132,1133,0,281250,281250,281250,200000,MODERATE
1133,1134,281250,0,-281250,281250,200000,MODERATE
1138,1139,0,468750,468750,468750,200000,MODERATE
1139,1140,468750,0,-468750,468750,200000,MODERATE
1146,1147,0,906250,906250,906250,200000,EXTREME
1147,1148,906250,0,-906250,906250,200000,EXTREME
1156,1157,0,333333,333333,333333,200000,MODERATE
1157,1158,333333,0,-333333,333333,200000,MODERATE
