belt_type,n_start,n_end,length,threshold,window,need
FRACTURE_BELT_TC,17130,17311,182,20,50,10
FRACTURE_BELT_TC,17398,17477,80,20,50,10
FRACTURE_BELT_TC,17494,17561,68,20,50,10
FRACTURE_BELT_TC,17572,17641,70,20,50,10
FRACTURE_BELT_TC,17730,17825,96,20,50,10
FRACTURE_BELT_TC,17844,17909,66,20,50,10
FRACTURE_BELT_TC,17974,18047,74,20,50,10
FRACTURE_BELT_TC,18064,18127,64,20,50,10
FRACTURE_BELT_TC,18154,18211,58,20,50,10
FRACTURE_BELT_TC,18370,18439,70,20,50,10
FRACTURE_BELT_TC,18462,18545,84,20,50,10
FRACTURE_BELT_TC,18582,18785,204,20,50,10
FRACTURE_BELT_TC,18798,19201,404,20,50,10
FRACTURE_BELT_TC,19258,19385,128,20,50,10
FRACTURE_BELT_TC,19480,19565,86,20,50,10
FRACTURE_BELT_TC,19590,19685,96,20,50,10
FRACTURE_BELT_TC,19738,19919,182,20,50,10
PRIME_PROXY_BELT,2,4847,4846,200000,50,10
PRIME_PROXY_BELT,4854,5945,1092,200000,50,10
PRIME_PROXY_BELT,5980,6499,520,200000,50,10
PRIME_PROXY_BELT,6504,7379,876,200000,50,10
PRIME_PROXY_BELT,7408,7981,574,200000,50,10
PRIME_PROXY_BELT,7990,8479,490,200000,50,10
PRIME_PROXY_BELT,8488,9569,1082,200000,50,10
PRIME_PROXY_BELT,9574,9979,406,200000,50,10
PRIME_PROXY_BELT,10020,10381,362,200000,50,10
PRIME_PROXY_BELT,10384,10547,164,200000,50,10
PRIME_PROXY_BELT,10552,10801,250,200000,50,10
PRIME_PROXY_BELT,10810,11641,832,200000,50,10
PRIME_PROXY_BELT,11650,13525,1876,200000,50,10
PRIME_PROXY_BELT,13548,14119,572,200000,50,10
PRIME_PROXY_BELT,14124,14255,132,200000,50,10
PRIME_PROXY_BELT,14274,14995,722,200000,50,10
PRIME_PROXY_BELT,15012,16151,1140,200000,50,10
PRIME_PROXY_BELT,16168,16279,112,200000,50,10
PRIME_PROXY_BELT,16300,17251,952,200000,50,10
PRIME_PROXY_BELT,17272,18587,1316,200000,50,10
PRIME_PROXY_BELT,18652,18821,170,200000,50,10
PRIME_PROXY_BELT,18868,18961,94,200000,50,10
PRIME_PROXY_BELT,18964,19337,374,200000,50,10
PRIME_PROXY_BELT,19342,19625,284,200000,50,10
PRIME_PROXY_BELT,19650,19999,350,200000,50,10
